lemma	freq	ours	OpenGNT
φρεναπάτης	1	engañador	seductores de la mente (1)
φρεναπατάω	1	engañar	está mentalmente descarriando (1)
φροντίζω	1	cuidar	estén poniendo la mente (1)
φυσίωσις	1	vanidad	hinchazones (1)
φόβητρον	1	cosas espantosas	vistas aterradoras (1)
χάραξ	1	barrera	empalizada de estacas puntiagudas (1)
χάσμα	1	abismo	sima (1)
χαλκίον	1	utensilios	vasos de cobre (1)
χλευάζω	1	burlarse	estaban mofando (1)
χολάω	1	enojarse	están biliando (1)
χρήσιμος	1	provechoso	útil (1)
χρηστεύομαι	1	ser benigno	estando siendo agradablemente bueno (1)
χόρτασμα	1	sustento	alimentos (1)
ψιθυρισμός	1	chisme	murmuraciones solapadas (1)
ψιθυριστής	1	chismosas	murmuradores solapados (1)
ψώχω	1	restregar	estando frotando (1)
ἀγγέλλω	1	traer noticia	estando llevando mensaje (1)
ἀγγεῖον	1	vasos	receptáculos (1)
ἀγενής	1	de baja condición	innobles (1)
ἀγράμματος	1	sin letras	iletrados (1)
ἀγρεύω	1	sorprender	capturen (1)
ἀδάπανος	1	gratuitamente	sin costo (1)
ἀδήλως	1	sin rumbo	de manera incierta (1)
ἀδηλότης	1	incertidumbre	no evidentes (1)
ἀδιάκριτος	1	imparcial	no juzgando distintivamente (a parcialidad) (1)
ἀκλινής	1	firmemente	sin titubear (1)
ἀκμήν	1	todavía	¿Aún (1)
ἀλάλητος	1	inefable	no hablados (1)
ἀλληγορέω	1	alegorizar	estando siendo hecho drama simbólico (1)
ἀλλογενής	1	extranjero	otra raza (1)
ἀλλοτριεπίσκοπος	1	entremetido	supervisor de (asuntos de) otro (1)
ἀλλόφυλος	1	a un extranjero	de otra tribu (1)
ἀλυσιτελής	1	inútil	no impuesto pagable benefiable (1)
ἀμάω	1	segar	habiendo cosechado (1)
ἀμαθής	1	ignorante	no aprendedores (1)
ἀμετακίνητος	1	inconmovible	inmovibles (1)
ἀμετανόητος	1	no arrepentido	sin cambio de mente (1)
ἀμφιέζω	1	ropa	está vistiendo (1)
ἀμφιβάλλω	1	echar la red	estando arrojando (1)
ἀνάβλεψις	1	vista	ver otra vez (1)
ἀνάλυσις	1	partida	ser disuelto (1)
ἀνένδεκτος	1	imposible	No admisible (1)
ἀνήμερος	1	feroz	indomables (1)
ἀναίδεια	1	insistencia	falta de vergüenza (1)
ἀναίρεσις	1	matar	toma hacia arriba (1)
ἀναβάλλω	1	despojarse	Aplazó (1)
ἀναβιβάζω	1	sacar	habiendo jalado hacia arriba (1)
ἀναβολή	1	demora	dilación (1)
ἀναγκαστῶς	1	por obligación	necesariamente (1)
ἀναδίδωμι	1	entregar	habiendo dado hacia arriba (1)
ἀναζωπυρέω	1	avivar	estar volviendo a encender (1)
ἀναθάλλω	1	revivir	hicieron florecer otra vez (1)
ἀνακαινίζω	1	restaurar	estar renovando (1)
ἀναμένω	1	aguardar	estar permaneciendo hacia arriba (1)
ἀνανήφω	1	volver en sí	vuelvan a la sobriedad (1)
ἀναντίρρητος	1	innegable	Incontradecible (1)
ἀναπηδάω	1	levantarse	habiendo puesto de pie de un salto (1)
ἀναρίθμητος	1	innumerable	sin número (1)
ἀνασκευάζω	1	trastornar	estando subvirtiendo (1)
ἀνασταυρόω	1	crucificar	estando fijando en madero de ejecución otra vez (1)
ἀναφωνέω	1	gritar	emitió voz alta (1)
ἀναψύχω	1	confortar	refrescó de nuevo (1)
ἀνδροφόνος	1	para homicidas	a asesinos de varones (1)
ἀνεξίκακος	1	tolerante	siendo reprimido bajo el mal (1)
ἀνεψιός	1	primo	sobrino (1)
ἀνθομολογέομαι	1	alabar	estaba respondiendo dando gracias (1)
ἀνταπόδοσις	1	recompensa	remuneración (1)
ἀντιβάλλω	1	cambiar	están echando en intercambio (1)
ἀντιδιατίθημι	1	oponerse	estando poniéndose por completo a sí mismos en contra (1)
ἀντικαθίστημι	1	resistir	han yacido en contra (1)
ἀντικαλέω	1	convidar a su vez	llamen en cambio de (1)
ἀντιπίπτω	1	resistir	estando cayendo en contraposición (1)
ἀνωτερικός	1	superior	más arriba (1)
ἀπέκδυσις	1	remoción	eliminación desde uno (1)
ἀπέραντος	1	interminable	inconclusas (1)
ἀπαίδευτος	1	ignorante	no instruídas (1)
ἀπαράβατος	1	permanente	intransmisible (1)
ἀπαρασκεύαστος	1	desprevenido	sin preparación (1)
ἀπαρτισμός	1	conclusión	terminación? (1)
ἀπελαύνω	1	impulsar	expulsó (1)
ἀποθλίβω	1	esforzarse por entrar	están oprimiendo completamente (1)
ἀποκλείω	1	cerrar	cierre (1)
ἀπομάσσω	1	sacudir	estamos limpiándonos restregando (1)
ἀπονέμω	1	dar	estando asignando (1)
ἀποπίπτω	1	caer	cayeron desde (1)
ἀπορφανίζω	1	quedar sin	habiendo sido hechos huérfanos (1)
ἀποστεγάζω	1	quitar	destecharon (1)
ἀποστοματίζω	1	hacer hablar	estar acosando boca (1)
ἀποτολμάω	1	ser muy osado	está hablando resueltamente (1)
ἀποτρέπω	1	apartarse de	estés volviéndote alejándote (1)
ἀπόβλητος	1	ser rechazado	arrojado hacia fuera (1)
ἀπόκριμα	1	sentencia	desición judicial (1)
ἀρτέμων	1	vela de proa	trinquete (1)
ἀρχιτέκτων	1	perito arquitecto	jefe de artífice (1)
ἀσκέω	1	esforzarse	(me) estoy ejercitando (1)
ἀσμένως	1	de buena gana	con gozo (1)
ἀσχήμων	1	menos decoroso	indecorosas (1)
ἀσύμφωνος	1	discorde	desentonados (1)
ἀσώτως	1	perdidamente	disolutamente (1)
ἀτακτέω	1	estar ociosos	nos comportamos desordenamente (1)
ἀφανής	1	oculto	no manifiesta (1)
ἀφελότης	1	sinceridad	sencillez (1)
ἀφικνέομαι	1	alcanzar	vino desde (1)
ἀφυπνόω	1	dormirse	(se) durmió (1)
ἀχλύς	1	neblina	niebla espesa (1)
ἁγνισμός	1	purificación	limpieza (1)
ἁδρότης	1	abundancia	liberalidad (1)
ἁρμόζω	1	desposar	comprometí (1)
ἄγγος	1	vasos	receptáculos (1)
ἄδολος	1	puro	no adulterada (1)
ἄκρατος	1	puro	sin diluír (1)
ἄκων	1	de mala gana	no voluntario (1)
ἄναλος	1	insípida	carente de sal (1)
ἄνοιξις	1	abrir	apertura (1)
ἄπειρος	1	inexperto	sin experiencia (1)
ἄπταιστος	1	de caída	sin dar traspié (1)
ἄσοφος	1	insensato	imprudentes (1)
ἄσπονδος	1	implacable	sin tregua (1)
ἄτακτος	1	rebelde	desordenados (1)
Ἀρφαξάδ	1	de Arfaxad	Arpaksad (1)
Ἄζωτος	1	Azoto	Asdod (1)
ἐγκάθετος	1	espía	acechadores contratados (1)
ἐγκατοικέω	1	morada	habitando entre (1)
ἐγκομβόομαι	1	ceñirse	cíñanse anudando (con cinto blanco de siervo) (1)
ἐγκοπή	1	impedimento	obstáculo (1)
ἐγκρίνω	1	clasificar	juzgar entre (1)
ἐγκρατής	1	disciplinado	que tenga autodominio (1)
ἐγχρίω	1	ungir	untar (1)
ἐθνικῶς	1	como gentil	nacionalmente (1)
ἐκβαίνω	1	salir	dieron pasos hacia fuera (1)
ἐκβολή	1	echazón	arrojamiento hacia fuera (1)
ἐκδιώκω	1	expulsar	habiendo perseguido hacia fuera (1)
ἐκζήτησις	1	especulaciones	búsquedas (de investigación) (1)
ἐκθαυμάζω	1	asombrarse	estaban maravillando (1)
ἐκλαλέω	1	decir	hablar hacia fuera (1)
ἐκπερισσῶς	1	enfáticamente	más abundantemente (1)
ἐκπλήρωσις	1	cumplimiento	lleno a plenitud (1)
ἐκπληρόω	1	cumplir	ha llenado a plenitud por completo (1)
ἐκπορνεύω	1	fornicar	habiendo cometido inmoralidad sexual con exceso (1)
ἐκπτύω	1	desechar con desprecio	escupieron hacia fuera (1)
ἐκστρέφω	1	corromperse	ha sido vuelto al revés (1)
ἐκτένεια	1	diligencia	constante (1)
ἐκταράσσω	1	molestar en extremo	están agitando completamente (1)
ἐκφοβέω	1	asustar	estar aterrando (1)
ἐκχωρέω	1	salir	estén partiendo hacia fuera (1)
ἐλαττονέω	1	tener falta	tuvo menos (1)
ἐλεγμός	1	convicción	puesta al descubierto (1)
ἐμέω	1	escupir	vomitar (1)
ἐμβάλλω	1	echar	arrojar en (1)
ἐμβατεύω	1	exponer por orden	estando poniendo de pie dentro (1)
ἐμβιβάζω	1	poner	hizo ir en (1)
ἐνδέχομαι	1	ser posible	está siendo admisible (1)
ἐνδύνω	1	entrar	estando metiendo sigilosamente (1)
ἐντρέφω	1	ser alimentado	estando siendo nutrido (1)
ἐντρυφάω	1	orgía	estando viviendo en lujo (1)
ἐνωτίζομαι	1	prestar atención a	den oído (1)
ἐξαίρω	1	expulsar	Alcen hacia fuera (1)
ἐξαιτέω	1	pedir con insistencia	demandó (1)
ἐξανάστασις	1	resurrección	levantamiento hacia fuera (1)
ἐξαστράπτω	1	resplandecer	estando brillando (1)
ἐξηχέω	1	resonar	ha sido divulgada (1)
ἐξισχύω	1	ser plenamente capaz	sean fuertes suficientemente (1)
ἐξορκίζω	1	conjurar	Estoy poniendo bajo juramento (1)
ἐξορκιστής	1	exorcista	expulsadores de demonios (1)
ἐξοχή	1	prominencia	eminentes (1)
ἐπίλυσις	1	interpretación	desatadura (1)
ἐπίνοια	1	intención	pensamiento designado (1)
ἐπίορκος	1	perjuro	a quebrantadores de juramentos (1)
ἐπαγωνίζομαι	1	contender ardientemente	estar luchando vigorozamente agonizando sobre (1)
ἐπακούω	1	escuchar	oí sobre (1)
ἐπακροάομαι	1	escuchar	estaban oyendo completamente (1)
ἐπανόρθωσις	1	corrección	rectificación completa (1)
ἐπειδήπερ	1	por cuanto	Puesto que (1)
ἐπενδύτης	1	manto	túnica (1)
ἐπερώτημα	1	exigir	solicitud (1)
ἐπιγαμβρεύω	1	casarse	tomará en matrimonio (1)
ἐπιδιατάσσομαι	1	añadir	está poniendo orden sobre (1)
ἐπιδιορθόω	1	poner en orden	hicieras rectas completamente (1)
ἐπικαλύπτω	1	ser cubiertos	fueron encubiertos (1)
ἐπικρίνω	1	sentenciar	decidió (1)
ἐπιπλήσσω	1	reprender	golpees (con habla) sobre (1)
ἐπιποθία	1	gran deseo	anhelo (1)
ἐπιπορεύομαι	1	venir	estando yendo sobre camino (1)
ἐπισκηνόω	1	reposar	cubra con tienda (1)
ἐπισκοπέω	1	observar	Estando mirando sobre (1) · estando mirando sobre (1)
ἐπιστομίζω	1	hacer callar	estar tapando la boca (1)
ἐπιστροφή	1	conversión	retorno (1)
ἐπισυντρέχω	1	agolparse	está corriendo juntando (1)
ἐπισφαλής	1	peligroso	arriesgada (1)
ἐπιτιμία	1	castigo	reprensión (1)
ἐπιφανής	1	glorioso	manifiesto (1)
ἐπιφαύσκω	1	alumbrar	resplandecerá sobre (1)
ἐπιχρίω	1	ungido	untó sobre (2)
ἐρίζω	1	contender	reñirá (1)
ἐρείδω	1	encallar	habiendo hincado firmemente (1)
ἐρεύγομαι	1	proferir	declararé abiertamente (1)
ἐφφαθά	1	Efata	Éffatha (1)
ἑδραίωμα	1	vil	soporte (1)
ἑκάστοτε	1	en todo tiempo	cada momento (1)
ἑκούσιος	1	disposición	voluntario (1)
ἑλκόω	1	estar lleno de llagas	ha sido ulcerado (1)
ἑορτάζω	1	celebrar la fiesta	estemos guardando (1)
ἑτέρως	1	de otra manera	diferentemente (1)
ἑτοιμασία	1	prontitud	preparación (1)
ἔγγυος	1	garantía	fiador (1)
ἔγερσις	1	resurrección	levantamiento (1)
ἔδαφος	1	tierra	suelo (1)
ἔκδηλος	1	llanura	completamente evidente (1)
ἔκθαμβος	1	muy asombrado	atónitos fuera de sí (1)
ἔκθετος	1	abandonar	exponer (1)
ἔλεγξις	1	reprensión	Censura (1)
ἔνδειγμα	1	señal evidente	demostración (1)
ἔνδυσις	1	vestirse	investidura (1)
ἔξυπνος	1	despertar	Hacia fuera de sueño (1)
ἔπαυλις	1	morada	habitación campestre (1)
ἔπος	1	palabra	por decirlo así (1)
Ἐμμανουήλ	1	Emanuel	Emmanuel (1)
ἠχέω	1	sondear	estando haciendo estruendo (1)
ἡγεμονία	1	reinar	gobernación (1)
ἤτοι	1	si	ya sea (1)
ἦθος	1	costumbres	hábitos (1)
ἰσάγγελος	1	como ángeles	igual a mensajeros (1)
ἰσόψυχος	1	del mismo sentir	igual alma (1)
ἱεροπρεπής	1	reverente	propios de consagrada (1)
ἱππικός	1	caballería	jinete (1)
ἱστορέω	1	conocer	visitar para inquirir (1)
ἴσως	1	quizá	igualmente (1)
Ἰωδά	1	de Judá	Jodá (1)
ὀκνέω	1	tardar	seas lento (1)
ὀλιγωρέω	1	menospreciar	estés teniendo en poco (1)
ὀλιγόψυχος	1	pusilánime	desanimados (1)
ὀλολύζω	1	lamento	estando aullando (1)
ὀμίχλη	1	nieblas	nubes (1)
ὀνάριον	1	pollino	asno joven (1)
ὀνίνημι	1	tener provecho	podría aprovechar (1)
ὀρθοτομέω	1	manejar con precisión	estando cortando derecho (1)
ὀρθρίζω	1	venir muy de mañana	estaba viniendo temprano (1)
ὀρθρινός	1	temprano	de madrugada (1)
ὀφρῦς	1	cumbre	peñasco (1)
ὀχλέω	1	ser atormentado	estando siendo perturbados (1)
ὀχλοποιέω	1	reunir una multitud	habiendo hecho chusma (1)
ὁμιλία	1	compañías	asociaciones (1)
ὁμόφρων	1	de un solo ánimo	misma mente (1)
ὄζω	1	heder	está oliendo mal (1)
ὄμβρος	1	aguacero	Tormenta (1)
ὄνειδος	1	deshonra	oprobio (1)
ὄρεξις	1	deseo	lascivia (1)
ὄψιμος	1	postrero	tardía (lluvia) (1)
ὅρμημα	1	con violencia	lanzamiento veloz (1)
ὑγρός	1	verde	húmedo (1)
ὑπέρακμος	1	pasada la edad	sobrepasado el punto más alto (1)
ὑπέχω	1	sufrir	estando teniendo bajo (1)
ὑπείκω	1	someterse	estén cediendo debajo (1)
ὑπερβαίνω	1	ir más allá	estar dando pasos por encima (1)
ὑπερεντυγχάνω	1	interceder	está haciendo petición a favor de (nosotros) (1)
ὑπερηφανία	1	orgullo	apariencia de superioridad (1)
ὑπερνικάω	1	ser más que vencedores	estamos ganando victoria completa (1)
ὑπερυψόω	1	exaltado hasta lo sumo	puso muy por encima (1)
ὑπερφρονέω	1	ser altivo	estar pensando más (de sí) (1)
ὑποβάλλω	1	sobornar	pusieron debajo (1)
ὑπογραμμός	1	ejemplo	(como) escrito (para imitar) debajo (1)
ὑποζώννυμι	1	refuerzo	estar ciñendo por debajo (1)
ὑπολείπω	1	quedar	fuí dejado atrás (1)
ὑποτρέχω	1	navegar al abrigo de	habiendo corrido debajo (1)
ὑπόλειμμα	1	remanente	dejado atrás (1)
ὕπανδρος	1	casado	sujeta a esposo (1)
ὗς	1	puerca	cerda (1)
ῥέω	1	correr	fluirá (1)
ῥιπίζω	1	ser llevado por el viento	estando siendo arrojado de un lado a otro (1)
ῥυπαρία	1	inmundicia	suciedad (1)
ῥώννυμι	1	adiós	Han sido en buena salud (1)
ῥᾳδιουργία	1	oficio	negligencia maligna (1)
ῥᾳδιούργημα	1	crimen	acto temerario indolente (1)
ῥῆγμα	1	ruina	rotura (1)
ἆρα	0	(partícula que espera respuesta negativa)	¿Realmente (3)
